File,Number of Changes
ShareX.HelpersLib/Extensions/Extensions.cs,100
ShareX.HelpersLib/Extensions/FormExtensions.cs,4
ShareX.HelpersLib/Extensions/GraphicsExtensions.cs,27
ShareX.HelpersLib/Extensions/GraphicsPathExtensions.cs,20
ShareX.HelpersLib/Extensions/NumberExtensions.cs,29
ShareX.HelpersLib/Extensions/ObjectExtensions.cs,22
ShareX.HelpersLib/Extensions/StreamExtensions.cs,18
ShareX.HelpersLib/Extensions/StringExtensions.cs,34
ShareX.HelpersLib/Extensions/XMLExtensions.cs,18
ShareX.HelpersLib/ExternalProgram.cs,32
ShareX.HelpersLib/FPSManager.cs,7
ShareX.HelpersLib/FastDateTime.cs,15
ShareX.HelpersLib/FileDownloader.cs,27
ShareX.HelpersLib/FixedSizedQueue.cs,16
ShareX.HelpersLib/FontSafe.cs,15
ShareX.HelpersLib/Forms/ClipboardViewerForm.cs,12
ShareX.HelpersLib/Forms/ColorPickerForm.cs,18
ShareX.HelpersLib/Forms/DebugForm.cs,36
ShareX.HelpersLib/Forms/ErrorForm.cs,28
ShareX.HelpersLib/Forms/GradientPickerForm.cs,31
ShareX.HelpersLib/Forms/ImageViewer.cs,56
ShareX.HelpersLib/Forms/InputBox.cs,30
ShareX.HelpersLib/Forms/MonitorTestForm.cs,27
ShareX.HelpersLib/Forms/MyMessageBox.cs,31
ShareX.HelpersLib/Forms/OutputBox.cs,24
ShareX.HelpersLib/Forms/PrintForm.cs,9
ShareX.HelpersLib/Forms/PrintTextForm.cs,8
ShareX.HelpersLib/Forms/ScreenTearingTestForm.cs,21
ShareX.HelpersLib/Forms/TrayForm.cs,19
ShareX.HelpersLib/GIF/AnimatedGifCreator.cs,17
ShareX.HelpersLib/GIF/GifClass.cs,17
ShareX.HelpersLib/GIF/GrayscaleQuantizer.cs,15
ShareX.HelpersLib/GIF/OctreeQuantizer.cs,17
ShareX.HelpersLib/GIF/PaletteQuantizer.cs,16
ShareX.HelpersLib/GIF/Quantizer.cs,15
ShareX.HelpersLib/GraphicsQualityManager.cs,13
ShareX.HelpersLib/Helpers/CaptureHelpers.cs,31
ShareX.HelpersLib/Helpers/ClipboardHelpers.cs,42
ShareX.HelpersLib/Helpers/ClipboardHelpersEx.cs,14
ShareX.HelpersLib/Helpers/ColorHelpers.cs,35
ShareX.HelpersLib/Helpers/FileHelpers.cs,14
ShareX.HelpersLib/Helpers/Helpers.cs,158
ShareX.HelpersLib/Helpers/ImageHelpers.cs,192
ShareX.HelpersLib/Helpers/JsonHelpers.cs,18
ShareX.HelpersLib/Helpers/MathHelpers.cs,29
ShareX.HelpersLib/Helpers/RegistryHelpers.cs,29
ShareX.HelpersLib/Helpers/ShortcutHelpers.cs,28
ShareX.HelpersLib/Helpers/URLHelpers.cs,67
ShareX.HelpersLib/Helpers/WebHelpers.cs,5
ShareX.HelpersLib/HelpersOptions.cs,29
ShareX.HelpersLib/HttpClientFactory.cs,5
ShareX.HelpersLib/ImageFilesCache.cs,10
ShareX.HelpersLib/Input/HotkeyForm.cs,10
ShareX.HelpersLib/Input/HotkeyInfo.cs,11
ShareX.HelpersLib/Input/InputHelpers.cs,12
ShareX.HelpersLib/Input/InputManager.cs,12
ShareX.HelpersLib/Input/KeyboardHook.cs,11
ShareX.HelpersLib/Links.cs,43
ShareX.HelpersLib/ListViewColumnSorter.cs,18
ShareX.HelpersLib/Logger.cs,29
ShareX.HelpersLib/MaxLengthStream.cs,8
ShareX.HelpersLib/MimeTypes.cs,13
ShareX.HelpersLib/MutexManager.cs,2
ShareX.HelpersLib/NameParser/CodeMenu.cs,25
ShareX.HelpersLib/NameParser/CodeMenuEntry.cs,12
ShareX.HelpersLib/NameParser/CodeMenuEntryActions.cs,13
ShareX.HelpersLib/NameParser/CodeMenuEntryFilename.cs,25
ShareX.HelpersLib/NameParser/CodeMenuEntryPixelInfo.cs,19
ShareX.HelpersLib/NameParser/CodeMenuItem.cs,10
ShareX.HelpersLib/NameParser/NameParser.cs,30
ShareX.HelpersLib/Native/FolderSelectDialog.cs,18
