Kind,Name,AvgCyclomatic,CountLine,CountLineCode,CountLineComment,RatioCommentToCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,MaxNesting,MaxCyclomatic,Cyclomatic
File,"ConflictResolver.java",0,41,7,31,4.43,0,,,0,0,
File,"ConflictResolverFactory.java",0,45,6,35,5.83,0,,,0,0,
File,"ConflictResolverNotFoundException.java",1,43,8,31,3.88,1,,,0,1,
File,"ConsoleMavenTransferListener.java",2,171,119,23,0.19,19,,,2,3,
File,"ConsoleMavenTransferListener.java",2,151,100,26,0.26,16,,,3,6,
File,"ConsoleMavenTransferListenerTest.java",3,148,106,25,0.24,13,,,4,6,
File,"ConsolePasswordPrompt.java",2,79,49,21,0.43,8,,,2,3,
File,"ConsoleRepositoryListener.java",1,111,69,18,0.26,21,,,0,2,
File,"ConsoleTransferListener.java",2,167,119,18,0.15,25,,,2,5,
File,"Constants.java",1,617,156,391,2.51,1,,,0,1,
File,"Consumer.java",0,44,11,31,2.82,0,,,0,0,
File,"ConsumerPomArtifactTransformer.java",0,45,14,23,1.64,0,,,0,0,
File,"ConsumerPomArtifactTransformerTest.java",1,108,76,18,0.24,6,,,2,1,
File,"ConsumerPomBuilder.java",0,39,12,22,1.83,0,,,0,0,
File,"ConsumerPomBuilderTest.java",1,161,122,21,0.17,4,,,0,1,
File,"ContainerCapsule.java",0,52,13,33,2.54,0,,,0,0,
File,"ContainerCapsuleFactory.java",0,35,7,26,3.71,0,,,0,0,
File,"ContextEnabled.java",0,41,6,32,5.33,0,,,0,0,
File,"ContributorTest.java",1,55,25,22,0.88,4,,,0,1,
File,"CopyPomMojo.java",4,74,38,26,0.68,4,,,2,4,
File,"CoreExports.java",1,67,27,31,1.15,5,,,0,1,
File,"CoreExportsProvider.java",1,51,22,21,0.95,3,,,0,1,
File,"CoreExtensionEntry.java",2,145,82,42,0.51,13,,,3,4,
File,"CoreExtensionSelector.java",0,38,9,26,2.89,0,,,0,0,
File,"CoreExtensions.java",1,48,14,30,2.14,1,,,0,1,
File,"CoreItHttpWagon.java",2,165,112,23,0.21,18,,,2,5,
File,"CoreItMojo.java",1,29,7,20,2.86,1,,,0,1,
File,"CoreItMojo.java",1,29,7,20,2.86,1,,,0,1,
File,"CoreItMojo.java",1,34,10,22,2.20,1,,,0,1,
File,"CoreItMojo.java",6,146,86,40,0.47,11,,,3,8,
File,"CoreItMojoWithSetters.java",2,123,58,32,0.55,9,,,2,3,
File,"CoreItToolchain.java",1,53,23,21,0.91,5,,,0,1,
File,"CoreItToolchainFactory.java",2,43,17,21,1.24,3,,,1,2,
File,"CoreItTouchMojo.java",5,144,70,47,0.67,9,,,2,6,
File,"CoreItWagon.java",2,177,122,23,0.19,19,,,2,4,
File,"CoreRealm.java",1,51,14,33,2.36,1,,,0,1,
File,"CoreUtils.java",2,42,20,18,0.90,4,,,2,3,
File,"CumulativeScopeArtifactFilter.java",2,101,50,35,0.70,13,,,2,3,
File,"CustomArtifactFactory.java",0,47,3,41,13.67,0,,,0,0,
File,"CustomComponentConfigurator.java",2,56,27,24,0.89,2,,,1,2,
File,"CustomConfigMojo.java",2,170,65,81,1.25,4,,,1,3,
File,"CustomLifecyclePluginPhase1Mojo.java",1,32,8,22,2.75,1,,,0,1,
File,"CustomPropertyContributor.java",1,32,11,18,1.64,1,,,0,1,
File,"CustomRepositoryLayout.java",2,62,31,21,0.68,6,,,1,3,
File,"CycleDetectedException.java",1,39,16,18,1.13,3,,,0,1,
File,"CycleDetectedInPluginGraphException.java",1,40,13,22,1.69,2,,,0,1,
File,"CyclicDependencyException.java",1,38,12,22,1.83,2,,,0,1,
File,"DIException.java",1,36,10,23,2.30,2,,,0,1,
File,"DebugConfigurationListener.java",2,84,45,31,0.69,10,,,3,4,
File,"DebugResolutionListener.java",1,141,87,32,0.37,22,,,1,3,
File,"Decrypt.java",2,53,28,21,0.75,3,,,1,2,
File,"DefaultArtifact.java",1,554,427,28,0.07,83,,,5,8,
File,"DefaultArtifact.java",1,120,81,21,0.26,15,,,0,2,
File,"DefaultArtifactCollector.java",0,32,8,22,2.75,0,,,0,0,
File,"DefaultArtifactCollectorTest.java",1,934,732,44,0.06,82,,,2,5,
File,"DefaultArtifactCoordinates.java",1,99,64,21,0.33,12,,,1,3,
File,"DefaultArtifactCoordinatesFactory.java",7,64,43,18,0.42,7,,,2,7,
File,"DefaultArtifactDeployer.java",6,149,101,30,0.30,11,,,2,10,
File,"DefaultArtifactDeployer.java",2,59,32,21,0.66,2,,,1,2,
File,"DefaultArtifactDescriptorReader.java",4,354,296,29,0.10,38,,,5,23,
File,"DefaultArtifactDescriptorReader.java",4,334,279,27,0.10,37,,,5,22,
File,"DefaultArtifactDescriptorReaderTest.java",3,82,45,21,0.47,3,,,2,3,
File,"DefaultArtifactFactory.java",1,187,138,24,0.17,23,,,1,7,
File,"DefaultArtifactFactory.java",6,84,62,18,0.29,12,,,1,6,
File,"DefaultArtifactFactoryTest.java",1,70,43,19,0.44,1,,,0,1,
File,"DefaultArtifactFilterManager.java",2,97,49,31,0.63,9,,,1,2,
File,"DefaultArtifactHandler.java",1,159,105,26,0.25,22,,,1,2,
File,"DefaultArtifactHandlerManager.java",1,93,57,24,0.42,8,,,2,3,
File,"DefaultArtifactInstaller.java",4,121,78,26,0.33,8,,,2,7,
File,"DefaultArtifactInstaller.java",2,58,33,18,0.55,3,,,1,2,
File,"DefaultArtifactManager.java",2,113,78,22,0.28,16,,,3,5,
File,"DefaultArtifactRepository.java",1,245,146,49,0.34,35,,,1,4,
File,"DefaultArtifactRepositoryFactory.java",1,123,80,21,0.26,12,,,2,4,
File,"DefaultArtifactRepositoryFactory.java",2,128,84,21,0.25,14,,,1,6,
File,"DefaultArtifactResolver.java",3,612,473,50,0.11,60,,,5,22,
File,"DefaultArtifactResolver.java",1,262,216,18,0.08,40,,,3,5,
File,"DefaultArtifactResolverTest.java",2,96,59,19,0.32,8,,,2,5,
File,"DefaultArtifactTest.java",1,188,137,20,0.15,18,,,1,2,
File,"DefaultArtifactTransformationManager.java",2,89,58,20,0.34,10,,,1,2,
File,"DefaultArtifactVersion.java",3,209,151,27,0.18,43,,,3,16,
File,"DefaultArtifactVersionTest.java",1,210,155,29,0.19,11,,,0,1,
File,"DefaultBeanConfigurationRequest.java",2,162,101,35,0.35,27,,,5,10,
File,"DefaultBeanConfigurator.java",2,203,151,23,0.15,26,,,2,7,
File,"DefaultBeanConfiguratorPathTest.java",1,117,69,20,0.29,10,,,1,2,
File,"DefaultBeanConfiguratorTest.java",1,115,67,20,0.30,10,,,1,2,
File,"DefaultBuildPluginManager.java",2,253,180,44,0.24,22,,,2,11,
File,"DefaultBuildResumptionAnalyzer.java",2,68,36,21,0.58,7,,,1,4,
File,"DefaultBuildResumptionAnalyzerTest.java",1,139,95,18,0.19,11,,,0,1,
File,"DefaultBuildResumptionDataRepository.java",2,120,82,23,0.28,12,,,2,3,
File,"DefaultBuildResumptionDataRepositoryTest.java",1,102,65,18,0.28,5,,,0,1,
File,"DefaultBuilderProblem.java",2,111,77,23,0.30,18,,,2,6,
File,"DefaultChecksumAlgorithmService.java",1,202,161,19,0.12,30,,,2,4,
File,"DefaultChecksumAlgorithmServiceTest.java",1,101,73,18,0.25,6,,,0,1,
File,"DefaultClassRealmManager.java",2,362,244,53,0.22,45,,,3,9,
File,"DefaultClassRealmManagerTest.java",1,165,116,21,0.18,7,,,1,1,
File,"DefaultClassRealmRequest.java",1,74,40,20,0.50,7,,,0,1,
File,"DefaultClasspathTransformation.java",3,134,78,38,0.49,13,,,3,5,
File,"DefaultClasspathTransformationTestType.java",1,120,62,37,0.60,4,,,0,1,
File,"DefaultComponent.java",1,40,12,23,1.92,2,,,0,1,
File,"DefaultConflictResolver.java",0,33,7,24,3.43,0,,,0,0,
File,"DefaultConflictResolverFactory.java",2,73,27,36,1.33,3,,,1,2,
File,"DefaultConsumerPomArtifactTransformer.java",2,202,157,27,0.17,30,,,3,8,
File,"DefaultConsumerPomBuilder.java",2,329,267,25,0.09,43,,,3,6,
File,"DefaultCoreRealm.java",1,44,20,18,0.90,2,,,0,1,
File,"DefaultDependency.java",1,86,55,18,0.33,10,,,0,2,
File,"DefaultDependencyCoordinates.java",1,67,41,18,0.44,7,,,0,1,
File,"DefaultDependencyCoordinatesFactory.java",2,75,51,18,0.35,4,,,1,3,
File,"DefaultDependencyManagementImporter.java",7,77,45,23,0.51,7,,,4,7,
File,"DefaultDependencyManagementImporter.java",4,192,143,28,0.20,24,,,4,8,
File,"DefaultDependencyManagementImporterTest.java",1,124,81,27,0.33,5,,,0,1,
File,"DefaultDependencyManagementInjector.java",3,101,61,27,0.44,10,,,3,5,
File,"DefaultDependencyManagementInjector.java",3,119,81,26,0.32,12,,,4,8,
File,"DefaultDependencyResolutionRequest.java",1,69,35,21,0.60,8,,,0,1,
File,"DefaultDependencyResolutionResult.java",1,93,54,20,0.37,12,,,1,2,
File,"DefaultDependencyResolver.java",4,232,197,25,0.13,23,,,5,9,
File,"DefaultDependencyResolverResult.java",3,414,216,170,0.79,51,,,4,12,
File,"DefaultDownloadedArtifact.java",1,40,14,21,1.50,2,,,0,1,
File,"DefaultEvent.java",1,65,38,18,0.47,7,,,0,1,
File,"DefaultEventSpyContext.java",1,37,11,21,1.91,1,,,0,1,
File,"DefaultExceptionHandler.java",7,293,183,62,0.34,52,,,5,16,
File,"DefaultExceptionHandlerTest.java",1,142,92,35,0.38,6,,,0,1,
File,"DefaultExecutionEvent.java",1,71,37,22,0.59,6,,,0,1,
File,"DefaultExecutionEventCatapult.java",10,115,78,24,0.31,20,,,2,19,
File,"DefaultExtensionRealmCache.java",2,149,96,26,0.27,18,,,2,4,
File,"DefaultFakeComponent.java",1,51,24,21,0.88,4,,,0,1,
File,"DefaultGraphBuilder.java",2,412,306,38,0.12,57,,,4,6,
File,"DefaultGraphBuilderTest.java",1,567,473,40,0.08,31,,,1,3,
File,"DefaultGraphConflictResolutionPolicy.java",8,68,31,27,0.87,8,,,2,8,
File,"DefaultGraphConflictResolutionPolicyTest.java",1,59,26,26,1.00,2,,,0,1,
File,"DefaultGraphConflictResolver.java",8,210,137,41,0.30,30,,,4,13,
File,"DefaultGraphConflictResolverTest.java",1,202,133,37,0.28,4,,,0,1,
File,"DefaultInheritanceAssembler.java",4,318,214,58,0.27,40,,,4,9,
File,"DefaultInheritanceAssembler.java",4,335,231,57,0.25,42,,,4,9,
File,"DefaultInheritanceAssemblerTest.java",1,217,120,65,0.54,18,,,1,3,
File,"DefaultInterpolator.java",3,426,242,142,0.59,52,,,3,17,
File,"DefaultInterpolatorTest.java",1,228,170,18,0.11,20,,,0,1,
File,"DefaultJavaToolChain.java",1,49,18,26,1.44,3,,,0,1,
File,"DefaultJavaToolchainFactory.java",2,216,164,22,0.13,31,,,3,5,
File,"DefaultLegacyArtifactCollector.java",8,750,548,104,0.19,90,,,10,38,
File,"DefaultLegacySupport.java",2,65,31,25,0.81,7,,,1,3,
File,"DefaultLegacySupportTest.java",1,71,38,21,0.55,4,,,1,2,
File,"DefaultLifecycleBindingsInjector.java",3,156,105,25,0.24,16,,,5,9,
File,"DefaultLifecycleBindingsInjector.java",2,212,162,26,0.16,29,,,5,9,
File,"DefaultLifecycleExecutionPlanCalculator.java",3,585,428,43,0.10,68,,,6,13,
File,"DefaultLifecycleExecutor.java",1,150,92,38,0.41,9,,,1,2,
File,"DefaultLifecycleMapping.java",2,125,66,38,0.58,14,,,4,6,
File,"DefaultLifecycleMappingDelegate.java",4,186,128,36,0.28,26,,,6,19,
File,"DefaultLifecyclePluginAnalyzer.java",4,247,163,38,0.23,25,,,4,9,
