File,Number of Changes
toqito/matrix_ops/tests/test_inner_product.py,8
toqito/matrix_ops/tests/test_outer_product.py,8
toqito/matrix_ops/tests/test_tensor_comb.py,1
docs/tutorials.extended_nonlocal_games.rst,23
toqito/nonlocal_games/extended_nonlocal_game.py,27
toqito/matrix_props/tests/test_spark.py,7
toqito/nonlocal_games/tests/test_nonlocal_game.py,8
.gitignore,16
toqito/matrix_props/tests/test_is_anti_hermitian.py,4
toqito/matrix_props/tests/test_is_hermitian.py,5
toqito/state_props/entanglement_of_formation.py,31
docs/tutorials.state_distinguishability.rst,19
toqito/channels/tests/test_partial_transpose.py,6
toqito/matrix_props/majorizes.py,14
toqito/matrix_props/tests/test_majorizes.py,4
toqito/matrix_props/tests/test_trace_norm.py,4
toqito/measurement_ops/measure.py,9
toqito/measurement_ops/tests/test_measure.py,4
toqito/nonlocal_games/quantum_hedging.py,19
toqito/nonlocal_games/tests/test_extended_nonlocal_game.py,6
toqito/nonlocal_games/tests/test_quantum_hedging.py,6
toqito/state_metrics/tests/test_bures_angle.py,4
toqito/state_metrics/tests/test_bures_distance.py,4
toqito/state_metrics/tests/test_fidelity.py,4
toqito/state_metrics/tests/test_helstrom_holevo.py,4
toqito/state_metrics/tests/test_hilbert_schmidt.py,5
toqito/state_metrics/tests/test_matsumoto_fidelity.py,5
toqito/state_metrics/tests/test_sub_fidelity.py,4
toqito/state_metrics/tests/test_trace_distance.py,4
toqito/state_opt/tests/test_ppt_distinguishability.py,14
toqito/state_opt/tests/test_symmetric_extension_hierarchy.py,6
toqito/state_props/has_symmetric_extension.py,22
toqito/state_props/tests/test_is_separable.py,7
toqito/states/tests/test_singlet.py,3
toqito/helper/cvx_kron.py,14
toqito/helper/tests/test_cvx_kron.py,4
docs/tutorials.xor_quantum_value.rst,21
toqito/channel_metrics/fidelity_of_separability.py,20
toqito/nonlocal_games/xor_game.py,31
toqito/state_props/in_separable_ball.py,12
toqito/state_props/is_antidistinguishable.py,8
toqito/state_props/sk_vec_norm.py,12
toqito/matrix_props/is_doubly_nonnegative.py,2
toqito/matrix_props/tests/test_is_doubly_nonnegative.py,2
toqito/matrix_props/tests/test_is_nonnegative.py,2
toqito/matrices/tests/test_cyclic_permutation_matrix.py,1
toqito/helper/tests/test_npa_hierarchy.py,3
main.py,9
toqito/helper/tests/test_update_odometer.py,4
toqito/state_props/tests/test_in_separable_ball.py,5
toqito/matrix_props/tests/test_positive_semidefinite_rank.py,3
toqito/state_ops/tests/test_schmidt_decomposition.py,6
toqito/perms/tests/test_symmetric_projection.py,4
toqito/states/tests/test_ghz.py,6
docs/books.bib,2
docs/references.rst,2
docs/articles.bib,15
toqito/matrix_ops/tests/test_vector_to_density_matrix.py,7
toqito/perms/tests/test_perfect_matchings.py,4
toqito/perms/tests/test_permutation_operator.py,5
toqito/perms/tests/test_permute_systems.py,4
.pylintrc,12
toqito/channel_ops/tests/test_partial_channel.py,7
toqito/matrix_props/tests/test_kp_norm.py,5
.github/workflows/docs.yml,4
toqito/matrices/tests/test_gell_mann.py,5
toqito/matrices/tests/test_gen_pauli_z.py,1
toqito/matrices/tests/test_gen_pauli_x.py,1
toqito/rand/random_circulant_gram.py,19
toqito/measurements/tests/__init__.py,2
toqito/measurements/tests/test_pretty_bad_measurement.py,2
toqito/measurements/tests/test_pretty_good_measurement.py,2
docs/autoapi_members.rst,2
toqito/matrices/tests/test_gen_gell_mann.py,4
toqito/perms/tests/test_antisymmetric_projection.py,9
toqito/channel_metrics/tests/test_channel_fidelity.py,3
toqito/channel_metrics/tests/test_completely_bounded_spectral_norm.py,5
toqito/channel_metrics/tests/test_diamond_norm.py,4
toqito/channel_metrics/tests/test_fidelity_of_separability.py,3
toqito/channel_ops/tests/test_apply_channel.py,5
toqito/channel_ops/tests/test_choi_to_kraus.py,5
toqito/channel_ops/tests/test_dual_channel.py,5
toqito/channel_ops/tests/test_kraus_to_choi.py,4
toqito/channel_props/tests/test_choi_rank.py,4
