File,Number of Changes
Source/Components/ImageGlass.Base/Types/HotKey.cs,9
Source/Components/ImageGlass.Base/Types/IgCommands.cs,9
Source/Components/ImageGlass.Base/Types/MouseEvent.cs,4
Source/Components/ImageGlass.Base/Types/PhotoBox.cs,4
Source/Components/ImageGlass.Base/Types/ProgressReporterEventArgs.cs,4
Source/Components/ImageGlass.Base/Types/SavingExts.cs,8
Source/Components/ImageGlass.Base/Types/ToolbarItemModel.cs,4
Source/Components/ImageGlass.Base/Update/UpdateModel.cs,5
Source/Components/ImageGlass.Base/Update/UpdateService.cs,10
Source/Components/ImageGlass.Base/Webview2/Events.cs,5
Source/Components/ImageGlass.Base/WinApi/ClipboardEx.cs,3
Source/Components/ImageGlass.Base/WinApi/DesktopApi.cs,5
Source/Components/ImageGlass.Base/WinApi/DisplayApi.cs,3
Source/Components/ImageGlass.Base/WinApi/DpiApi.cs,3
Source/Components/ImageGlass.Base/WinApi/ExplorerApi.cs,11
Source/Components/ImageGlass.Base/WinApi/FileShortcutApi.cs,3
Source/Components/ImageGlass.Base/WinApi/FormIconApi.cs,5
Source/Components/ImageGlass.Base/WinApi/KeyboardApi.cs,5
Source/Components/ImageGlass.Base/WinApi/PrintService.cs,3
Source/Components/ImageGlass.Base/WinApi/ShellThumbnailApi.cs,5
Source/Components/ImageGlass.Base/WinApi/SysExecutionState.cs,5
Source/Components/ImageGlass.Base/WinApi/SystemIconApi.cs,5
Source/Components/ImageGlass.Base/WinApi/TimerApi.cs,7
Source/Components/ImageGlass.Base/WinApi/WinColorsApi.cs,3
Source/Components/ImageGlass.Base/WinApi/WindowApi.cs,5
Source/Components/ImageGlass.Gallery/Cache/ShellInfoCacheManager.cs,3
Source/Components/ImageGlass.Gallery/Cache/ThumbnailCacheManager.cs,8
Source/Components/ImageGlass.Gallery/Enums.cs,3
Source/Components/ImageGlass.Gallery/Events.cs,3
Source/Components/ImageGlass.Gallery/Extractor/Extractor.cs,3
Source/Components/ImageGlass.Gallery/Extractor/GDIMetadataExtractor.cs,4
Source/Components/ImageGlass.Gallery/Extractor/GDIShellInfoExtractor.cs,3
Source/Components/ImageGlass.Gallery/Extractor/GDIThumbnailExtractor.cs,4
Source/Components/ImageGlass.Gallery/Extractor/IExtractor.cs,3
Source/Components/ImageGlass.Gallery/Extractor/ShellInfo.cs,3
Source/Components/ImageGlass.Gallery/Item/Adaptor/FileSystemAdaptor.cs,6
Source/Components/ImageGlass.Gallery/Item/Adaptor/IAdaptor.cs,4
Source/Components/ImageGlass.Gallery/Item/CheckedItemCollection.cs,3
Source/Components/ImageGlass.Gallery/Item/ImageGalleryItem.cs,5
Source/Components/ImageGlass.Gallery/Item/ItemCollection.cs,5
Source/Components/ImageGlass.Gallery/Item/SelectedItemCollection.cs,3
Source/Components/ImageGlass.Gallery/Managers/HitInfo.cs,3
Source/Components/ImageGlass.Gallery/Managers/LayoutManager.cs,3
Source/Components/ImageGlass.Gallery/Managers/NavigationManager.cs,5
Source/Components/ImageGlass.Gallery/Renderer/Renderers.cs,3
Source/Components/ImageGlass.Gallery/Renderer/StyleRenderer.cs,4
Source/Components/ImageGlass.Gallery/Utility.cs,3
Source/Components/ImageGlass.Settings/ConfigurationExtensions.cs,5
Source/Components/ImageGlass.Settings/Events/RequestUpdatingThemeEventArgs.cs,4
Source/Components/ImageGlass.Settings/Events/SystemColorModeChangedEventArgs.cs,4
Source/Components/ImageGlass.Settings/Events/ToolFormEvents.cs,4
Source/Components/ImageGlass.Settings/Forms/PopupEnums.cs,3
Source/Components/ImageGlass.Settings/Forms/ThemedForm.cs,4
Source/Components/ImageGlass.Settings/Source.cs,10
Source/Components/ImageGlass.Settings/ToolConfigs/ColorPickerConfig.cs,7
Source/Components/ImageGlass.Settings/ToolConfigs/CropToolConfig.cs,8
Source/Components/ImageGlass.Settings/ToolConfigs/IToolConfig.cs,2
Source/Components/ImageGlass.Settings/WebUI.cs,9
Source/Components/ImageGlass.Settings/WindowSettings.cs,3
Source/Components/ImageGlass.UI/Buttons/DarkControlState.cs,3
Source/Components/ImageGlass.UI/Buttons/ModernButtonStyle.cs,3
Source/Components/ImageGlass.UI/ColorPicker/ColorHexagonElement.cs,3
Source/Components/ImageGlass.UI/ColorPicker/Controls/ColorHexagon.cs,5
Source/Components/ImageGlass.UI/ColorPicker/Enums.cs,3
Source/Components/ImageGlass.UI/ColorPicker/Events.cs,5
Source/Components/ImageGlass.UI/ColorPicker/HslColor.cs,4
Source/Components/ImageGlass.UI/Forms/ModernFormEvents.cs,5
Source/Components/ImageGlass.UI/Forms/MovableForm.cs,3
Source/Components/ImageGlass.UI/Menu/MenuUtils.cs,3
Source/Components/ImageGlass.UI/Menu/ModernMenuColors.cs,5
Source/Components/ImageGlass.UI/Menu/ModernMenuItemTag.cs,4
Source/Components/ImageGlass.UI/Menu/ModernMenuRenderer.cs,6
Source/Components/ImageGlass.UI/Renderers/ModernGalleryRenderer.cs,6
Source/Components/ImageGlass.UI/Themes/IconFile.cs,5
Source/Components/ImageGlass.UI/Themes/IgTheme.cs,14
Source/Components/ImageGlass.UI/Themes/IgThemeModels.cs,4
Source/Components/ImageGlass.UI/Toolbar/ModernToolbarRenderer.cs,6
Source/Components/ImageGlass.Views/Events.cs,6
Source/Components/ImageGlass.Views/SelectionResizer.cs,5
Source/Components/ImageGlass.Views/VHelper.cs,7
Source/Components/ImageGlass.Views/ViewerCanvasExtensions.cs,2
Source/Components/ImageGlass.Views/ViewerCanvas_Touch.cs,2
Source/Components/ImageGlass.Views/ViewerCanvas_Webview2.cs,5
