File,Number of Changes
lucene/core/src/test/org/apache/lucene/search/TestSynonymQuery.java,22
lucene/backward-codecs/src/test/org/apache/lucene/backward_index/TestIndexSortBackwardsCompatibility.java,8
lucene/core/src/java/org/apache/lucene/document/SortedNumericDocValuesRangeQuery.java,22
lucene/core/src/java/org/apache/lucene/search/DocIdSetIterator.java,20
lucene/core/src/java/org/apache/lucene/search/MatchAllDocsQuery.java,44
lucene/core/src/java/org/apache/lucene/search/MatchAllScorerSupplier.java,2
lucene/core/src/test/org/apache/lucene/search/TestDocIdSetIterator.java,5
lucene/core/src/test/org/apache/lucene/search/TestSortOptimization.java,33
lucene/test-framework/src/java/org/apache/lucene/tests/search/AssertingScorer.java,7
.github/workflows/activity-report.sh,2
.github/workflows/activity-report.yml,1
lucene/core/src/java/module-info.java,31
lucene/core/src/java/org/apache/lucene/codecs/lucene101/package-info.java,2
lucene/core/src/java/org/apache/lucene/codecs/lucene102/BinarizedByteVectorValues.java,1
lucene/core/src/java/org/apache/lucene/codecs/lucene102/Lucene102BinaryFlatVectorsScorer.java,1
lucene/core/src/java/org/apache/lucene/codecs/lucene102/Lucene102BinaryQuantizedVectorsFormat.java,1
lucene/core/src/java/org/apache/lucene/codecs/lucene102/Lucene102BinaryQuantizedVectorsReader.java,1
lucene/core/src/java/org/apache/lucene/codecs/lucene102/Lucene102HnswBinaryQuantizedVectorsFormat.java,1
lucene/core/src/java/org/apache/lucene/codecs/lucene102/OffHeapBinarizedVectorValues.java,1
lucene/core/src/java/org/apache/lucene/codecs/lucene102/package-info.java,1
lucene/core/src/resources/META-INF/services/org.apache.lucene.codecs.KnnVectorsFormat,13
lucene/core/src/test/org/apache/lucene/codecs/lucene102/TestLucene102BinaryQuantizedVectorsFormat.java,1
lucene/core/src/test/org/apache/lucene/codecs/lucene102/TestLucene102HnswBinaryQuantizedVectorsFormat.java,1
lucene/core/src/test/org/apache/lucene/internal/vectorization/BaseVectorizationTestCase.java,2
lucene/core/src/test/org/apache/lucene/util/TestVectorUtil.java,20
CONTRIBUTING.md,15
gradle/datasets/external-datasets.gradle,8
lucene/test-framework/src/java/org/apache/lucene/tests/util/LuceneTestCase.java,45
lucene/demo/src/java/org/apache/lucene/demo/facet/SandboxFacetsExample.java,5
