File,Number of Changes
impl/maven-testing/src/site/apt/index.apt,4
impl/maven-testing/src/site/fml/faq.fml,8
impl/maven-testing/src/site/site.xml,6
impl/pom.xml,11
src/graph/ReactorGraph.java,7
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng8648ProjectStartedEventsTest.java,1
its/core-it-suite/src/test/resources/mng-8648/extension/pom.xml,1
its/core-it-suite/src/test/resources/mng-8648/extension/src/main/java/org/apache/maven/its/mng8648/ProjectEventSpy.java,1
its/core-it-suite/src/test/resources/mng-8648/extension/src/main/resources/META-INF/plexus/components.xml,1
its/core-it-suite/src/test/resources/mng-8648/project/.mvn/extensions.xml,1
its/core-it-suite/src/test/resources/mng-8648/project/pom.xml,1
its/core-it-suite/src/test/resources/mng-8648/project/subproject-a/pom.xml,1
its/core-it-suite/src/test/resources/mng-8648/project/subproject-b/pom.xml,1
api/maven-api-core/src/main/java/org/apache/maven/api/SourceRoot.java,2
api/maven-api-model/src/main/mdo/maven.mdo,33
impl/maven-impl/src/main/java/org/apache/maven/impl/DefaultSourceRoot.java,3
impl/maven-impl/src/main/java/org/apache/maven/impl/model/DefaultModelBuilder.java,11
impl/maven-impl/src/test/java/org/apache/maven/impl/model/DefaultModelBuilderTest.java,3
api/maven-api-core/src/main/java/org/apache/maven/api/services/ModelBuilderRequest.java,13
impl/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java,11
impl/maven-impl/src/main/java/org/apache/maven/impl/MappedList.java,2
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng3477DependencyResolutionErrorMessageTest.java,27
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng4660ResumeFromTest.java,13
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng6090CIFriendlyTest.java,19
its/core-it-suite/src/test/resources-filtered/settings-remote.xml,3
its/core-it-suite/src/test/resources-filtered/settings.xml,4
its/core-it-suite/src/test/resources/mng-5175/settings-template.xml,4
its/core-it-suite/src/test/resources/mng-6090-ci-friendly/.mvn/.gitkeep,1
compat/maven-compat/src/main/java/org/apache/maven/project/interpolation/AbstractStringBasedModelInterpolator.java,3
compat/maven-compat/src/main/java/org/apache/maven/repository/metadata/MetadataGraph.java,2
compat/maven-compat/src/test/java/org/apache/maven/repository/legacy/resolver/DefaultArtifactCollectorTest.java,3
compat/maven-compat/src/test/java/org/apache/maven/repository/legacy/resolver/conflict/AbstractConflictResolverTest.java,3
compat/maven-model-builder/src/main/java/org/apache/maven/model/building/Result.java,4
compat/maven-model-builder/src/main/java/org/apache/maven/model/interpolation/ObjectBasedValueSource.java,3
compat/maven-toolchain-builder/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java,4
compat/maven-toolchain-builder/src/test/java/org/apache/maven/toolchain/building/ToolchainsBuildingExceptionTest.java,2
impl/maven-core/src/main/java/org/apache/maven/model/plugin/DefaultLifecycleBindingsInjector.java,3
impl/maven-core/src/test/java/org/apache/maven/plugin/PluginParameterExpressionEvaluatorTest.java,5
impl/maven-core/src/test/java/org/apache/maven/plugin/PluginParameterExpressionEvaluatorV4Test.java,5
impl/maven-impl/src/main/java/org/apache/maven/impl/ExtensibleEnumRegistries.java,4
compat/maven-embedder/src/test/java/org/apache/maven/cli/props/MavenPropertiesTest.java,4
impl/maven-core/src/test/java/org/apache/maven/internal/impl/DefaultChecksumAlgorithmServiceTest.java,3
impl/maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,7
impl/maven-core/src/test/java/org/apache/maven/session/scope/SessionScopeProxyTest.java,3
compat/maven-compat/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java,3
compat/maven-compat/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java,2
compat/maven-model/src/test/java/org/apache/maven/model/BuildTest.java,2
compat/maven-model/src/test/java/org/apache/maven/model/IssueManagementTest.java,2
compat/maven-model/src/test/java/org/apache/maven/model/LicenseTest.java,2
compat/maven-model/src/test/java/org/apache/maven/model/MailingListTest.java,2
compat/maven-model/src/test/java/org/apache/maven/model/OrganizationTest.java,2
compat/maven-model/src/test/java/org/apache/maven/model/ScmTest.java,2
impl/maven-core/src/main/java/org/apache/maven/internal/transformation/impl/DefaultConsumerPomBuilder.java,10
impl/maven-impl/src/main/java/org/apache/maven/impl/resolver/type/DefaultType.java,2
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng8645ConsumerPomDependencyManagementTest.java,1
its/core-it-suite/src/test/resources/mng-8645-consumer-pom-dep-mgmt/pom.xml,1
apache-maven/src/assembly/component.xml,10
api/maven-api-xml/src/main/java/org/apache/maven/api/xml/ImmutableCollections.java,1
api/maven-api-xml/src/main/java/org/apache/maven/api/xml/XmlNode.java,5
api/maven-api-xml/src/main/java/org/apache/maven/api/xml/XmlService.java,1
compat/maven-embedder/src/main/java/org/apache/maven/cli/ExtensionConfigurationModule.java,5
compat/maven-model/src/test/java/org/apache/maven/model/v4/ModelXmlTest.java,2
